Lactose,Whey central,Whey west,Whey east,NDPSR whey avg,CME whey avg,NDPSR NFDM,34p WPC,Nonfat west,Nonfat central east,Sweet cream buttermilk central,AA butter,Cheese 40 blocks,Cheese barrel,Delac
0.305,0.35875,0.37,0.365,0.3694,0.3505,1.2411,1.015,1.175,1.185,1.16,1.7921,1.9412,1.658114106405692,0.3077074955003334
0.31,0.35875,0.37,0.37,0.3743,0.3385,1.2236,1.015,1.145,1.18,1.15,1.7762,1.9049,1.6333467360491352,0.33380497729460146
0.31,0.35875,0.37,0.3725,0.375,0.3425,1.1549,1.015,1.13,1.145,1.15,1.7352,1.8464,1.7574446538046753,0.4522289366402761
0.31,0.35875,0.37,0.37375,0.372,0.326,1.164,1.015,1.075,1.075,1.13,1.827,1.8007,1.4786167992104273,0.4019635363382743
0.31,0.35,0.37,0.37625,0.3787,0.33,1.1168,1.015,1.05,1.0475,1.14,1.7352,1.7745,1.597340669950622,0.44791608090846746
0.3175,0.35,0.36,0.38,0.3763,0.33,1.0281,1.0125,0.9,0.91,1.13,1.6924,1.8283,1.5793084148789778,0.4863649661830991
0.3375,0.3475,0.355,0.37875,0.3773,0.3375,1.0797,1.015,0.905,0.89125,1.025,1.624,1.882,1.4225595734467085,0.33025616836639093
0.3425,0.3525,0.365,0.37875,0.3711,0.365,0.9795,1.00875,0.875,0.9,1.0,1.2395,1.6469,1.5795841555651093,0.4813022881922959
0.355,0.3525,0.3675,0.3775,0.3739,0.386,0.9315,0.99875,0.875,0.88,0.945,1.2489,1.3859,1.4711310239320505,0.4958954726564122
0.375,0.3625,0.37,0.38375,0.3721,0.3905,0.8854,0.9775,0.8575,0.855,0.905,1.1229,1.2225,1.3684244624257489,0.5744670129085077
0.385,0.3625,0.38,0.3775,0.3745,0.399,0.8589,0.9625,0.845,0.8275,0.905,1.1285,1.1735,1.6258,0.4656714636059369
0.4,0.3675,0.38,0.38,0.3796,0.397,0.8402,0.9625,0.8675,0.835,0.9,1.1849,1.1349,1.6258,0.5439620368653343
0.415,0.365,0.38,0.38125,0.3847,0.3645,0.8387,0.9575,0.91,0.9375,0.9,1.3141,1.2198,1.6258,0.3590250264876148
0.415,0.3625,0.3675,0.38375,0.384,0.3188,0.8588,0.9475,0.975,1.0075,0.915,1.4252,1.3737,1.6258,0.3590250264876148
0.4375,0.36,0.3525,0.38375,0.3815,0.325,0.8459,0.9525,1.025,1.025,0.915,1.5604,1.6121,2.1184315219744496,0.3590250264876148
0.4525,0.355,0.3525,0.3825,0.3661,0.3235,0.8825,0.9525,1.005,1.02,0.925,1.5985,1.905,2.2123739525349624,0.3590250264876148
0.465,0.3525,0.3525,0.37375,0.3687,0.314,0.9056,0.9275,1.005,1.0175,0.925,1.8377,2.1626,2.310020772215175,0.3590250264876148
0.475,0.33625,0.35,0.375,0.3553,0.31,0.9202,0.9225,1.005,1.005,0.925,1.8427,2.4295,2.4941005141046553,0.3590250264876148
0.505,0.33125,0.35,0.35375,0.3648,0.3238,0.9583,0.90375,1.005,1.015,0.925,1.8244,2.5328,2.481873452681733,0.6105005034421833
0.515,0.325,0.35,0.345,0.3341,0.2925,0.9763,0.90875,1.0225,1.025,0.925,1.7988,1.5827499999999999,2.447333754592038,0.3590250264876148
0.52,0.3225,0.345,0.34375,0.3467,0.325,0.9687,0.89375,1.03,1.02,0.925,1.8103,1.5827499999999999,1.509128357614768,0.606035620947745
0.52,0.3175,0.3475,0.35,0.3461,0.34,0.9647,0.89,1.005,1.02,0.91,1.7675,1.5827499999999999,1.509128357614768,0.5474334335299458
0.52,0.315,0.355,0.35275,0.3596,0.342,0.9761,0.88,1.0075,1.005,0.915,1.7572,1.5827499999999999,1.509128357614768,0.5051829956533077
0.515,0.3125,0.345,0.35,0.3488,0.324,0.9752,0.87,0.975,0.99,0.925,1.7542,1.5827499999999999,1.509128357614768,0.5185621896439956
0.515,0.3,0.34,0.35,0.346,0.314,0.9773,0.8625,0.965,0.985,0.95,1.5523,1.5827499999999999,2.470544074652017,0.5164814598301943
0.5125,0.2975,0.34,0.34875,0.3367,0.339,0.9612,0.85625,0.99,0.985,0.95,1.5556,2.2924,2.230269612141097,0.5035207671275695
0.5125,0.295,0.34,0.3475,0.3283,0.332,0.9701,0.85,0.99,1.0,0.95,1.4871,2.0374,1.9703037647592179,0.49653141020145797
0.51,0.295,0.34,0.34125,0.3203,0.334,0.9482,0.8475,1.0025,1.01,0.95,1.4984,1.8412,1.8818845150618624,0.5468334661090825
